keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
green amber jewellery,amber_core,320,HIGH,100,0.28,1.33,amber_types
amber and teething,amber_core,320,HIGH,100,0.29,1.39,amber_types
bangle amber,amber_core,320,HIGH,100,0.31,0.39,amber_types
white amber beads,amber_core,320,LOW,22,0.0,0.0,amber_types
honey amber,amber_core,320,LOW,4,0.0,0.0,amber_colors
baltic butterscotch amber,amber_core,320,HIGH,81,0.0,0.0,amber_colors
amber teething bracelet,amber_core,260,HIGH,100,0.31,1.5,amber_general
amber necklace for adults,amber_core,260,HIGH,100,0.31,1.05,amber_general
amber stone ring,amber_core,260,HIGH,100,0.23,0.85,amber_general
amber stone necklace,amber_core,260,HIGH,100,0.33,1.6,amber_general
amber scholl jewelry,amber_core,260,HIGH,69,0.0,0.0,amber_general
cherry amber necklace,amber_core,260,HIGH,100,0.15,0.71,amber_general
butterscotch amber necklace,amber_core,260,HIGH,100,0.09,0.7,amber_general
baltic amber pendant,amber_core,260,HIGH,100,0.32,0.84,amber_general
chunky amber necklace,amber_core,260,HIGH,100,0.29,0.55,amber_general
amber cuff bracelet,amber_core,260,HIGH,100,0.21,1.22,amber_general
amber gemstone necklace,amber_core,260,HIGH,100,0.33,1.6,amber_general
red amber jewelry,amber_core,260,HIGH,100,0.0,0.0,amber_general
butterscotch amber ring,amber_core,260,HIGH,80,0.09,0.54,amber_general
amber statement necklace,amber_core,260,HIGH,75,0.0,0.0,amber_general
amber pearl necklace,amber_core,260,HIGH,98,0.27,1.8,amber_general
dark amber necklace,amber_core,260,HIGH,71,0.0,0.0,amber_general
amber and pearl necklace,amber_core,260,HIGH,98,0.27,1.8,amber_general
amber and turquoise,amber_core,260,MEDIUM,54,0.0,0.0,amber_general
amber from baltic sea,amber_core,260,HIGH,80,0.36,1.23,amber_general
amber silver,amber_core,260,LOW,26,0.0,0.0,amber_general
amberart,amber_core,260,LOW,28,0.61,4.99,amber_general
berber amber necklace,amber_core,260,LOW,21,0.0,0.0,amber_general
big amber ring,amber_core,260,MEDIUM,56,0.0,0.0,amber_general
carved amber ring,amber_core,260,LOW,24,0.0,0.0,amber_general
natural amber pendant,amber_core,260,HIGH,100,0.32,0.84,amber_general
necklace with amber stone,amber_core,260,HIGH,100,0.33,1.6,amber_general
pearl and amber necklace,amber_core,260,HIGH,98,0.27,1.8,amber_general
vintage amber bracelet,amber_core,260,MEDIUM,48,0.0,0.0,amber_general
vintage amber pendant necklace,amber_core,260,MEDIUM,54,0.0,0.0,amber_general
green baltic amber,amber_core,260,HIGH,92,0.0,0.0,amber_types
amber bakelite beads,amber_core,260,MEDIUM,44,0.0,0.0,amber_types
amber from the baltic sea,amber_core,260,HIGH,80,0.36,1.23,amber_types
butterscotch amber bakelite,amber_core,260,MEDIUM,66,0.0,0.0,amber_types
butterscotch amber beads,amber_core,260,HIGH,100,0.09,0.7,amber_types
cherry amber beads,amber_core,260,HIGH,100,0.15,0.71,amber_types
silver amber,amber_core,260,LOW,26,0.0,0.0,amber_types
silver and amber,amber_core,260,LOW,26,0.0,0.0,amber_types
raw green amber,amber_core,260,LOW,20,0.0,0.0,amber_colors
teething beads necklace,amber_core,210,HIGH,100,0.27,1.26,amber_general
mens amber bracelet,amber_core,210,HIGH,100,0.3,2.09,amber_general
amber ring gold,amber_core,210,HIGH,100,0.3,1.96,amber_general
amber earrings silver,amber_core,210,HIGH,100,0.31,1.39,amber_general
mens amber necklace,amber_core,210,HIGH,100,0.33,1.38,amber_general
amber gold ring,amber_core,210,HIGH,100,0.3,1.96,amber_general
vintage amber necklace,amber_core,210,HIGH,99,0.03,0.47,amber_general
silver amber earrings,amber_core,210,HIGH,100,0.31,1.39,amber_general
lithuanian amber,amber_core,210,HIGH,84,0.24,0.85,amber_general
lithuanian amber jewelry,amber_core,210,HIGH,100,0.22,0.59,amber_general
silver and amber earrings,amber_core,210,HIGH,100,0.31,1.39,amber_general
vintage amber jewelry,amber_core,210,HIGH,96,0.08,0.69,amber_general
yellow amber necklace,amber_core,210,HIGH,100,0.04,0.65,amber_general
amber and gold ring,amber_core,210,HIGH,100,0.3,1.96,amber_general
green amber pendant,amber_core,210,MEDIUM,58,0.0,0.0,amber_general
long amber necklace,amber_core,210,HIGH,84,0.28,0.95,amber_general
sterling silver amber necklace,amber_core,210,HIGH,98,0.31,0.62,amber_general
amber silver pendant,amber_core,210,HIGH,90,0.0,0.0,amber_general
african amber necklace,amber_core,210,MEDIUM,53,0.0,0.0,amber_general
amber and gold bracelet,amber_core,210,HIGH,70,0.35,0.96,amber_general
amber and silver pendant,amber_core,210,HIGH,90,0.0,0.0,amber_general
amber and sterling silver necklace,amber_core,210,HIGH,98,0.31,0.62,amber_general
amber and sterling silver pendant,amber_core,210,HIGH,73,0.53,1.03,amber_general
amber bakelite necklace,amber_core,210,HIGH,76,0.0,0.0,amber_general
amber colored gemstones,amber_core,210,HIGH,99,0.34,0.99,amber_general
amber pendant sterling silver,amber_core,210,HIGH,73,0.53,1.03,amber_general
amber rings in gold,amber_core,210,HIGH,100,0.3,1.96,amber_general
amber sterling silver pendant,amber_core,210,HIGH,73,0.53,1.03,amber_general
amber vintage necklace,amber_core,210,HIGH,99,0.03,0.47,amber_general
cherry amber jewellery,amber_core,210,HIGH,69,0.0,0.0,amber_general
gold amber bracelet,amber_core,210,HIGH,70,0.35,0.96,amber_general
gold and amber bracelet,amber_core,210,HIGH,70,0.35,0.96,amber_general
rough amber necklace,amber_core,210,MEDIUM,62,0.0,0.0,amber_general
sterling silver amber jewellery,amber_core,210,MEDIUM,61,0.0,0.0,amber_general
sterling silver amber pendant,amber_core,210,HIGH,73,0.53,1.03,amber_general
sterling silver and amber necklace,amber_core,210,HIGH,98,0.31,0.62,amber_general
white amber bracelet,amber_core,210,MEDIUM,63,0.0,0.0,amber_general
amber stretch bracelet,amber_core,210,HIGH,90,0.35,1.09,amber_types
amber spider brooch,amber_core,210,MEDIUM,62,0.0,0.0,amber_types
baltic amber bangle,amber_core,210,MEDIUM,65,0.0,0.0,amber_types
green amber beads,amber_core,210,MEDIUM,63,0.09,0.59,amber_types
blue amber stone,amber_core,210,HIGH,92,0.22,0.89,amber_colors
baltic cognac amber,amber_core,210,MEDIUM,66,0.0,0.0,amber_colors
blue amber gemstone,amber_core,210,HIGH,92,0.22,0.89,amber_colors
sterling silver amber jewelry,amber_core,210,MEDIUM,61,0.0,0.0,silver_amber
amber drop earrings,amber_core,170,HIGH,100,0.35,1.31,amber_general
raw amber necklace,amber_core,170,HIGH,100,0.32,1.33,amber_general
green amber earrings,amber_core,170,HIGH,100,0.19,1.11,amber_general
green amber ring,amber_core,170,HIGH,100,0.19,0.96,amber_general
amber hoop earrings,amber_core,170,HIGH,100,0.3,1.13,amber_general
amber and gold necklace,amber_core,170,HIGH,100,0.33,1.46,amber_general
real amber ring,amber_core,170,HIGH,99,0.2,0.96,amber_general
amber necklace gold,amber_core,170,HIGH,100,0.33,1.46,amber_general
red amber necklace,amber_core,170,HIGH,97,0.17,1.19,amber_general
amber ring with insect,amber_core,170,HIGH,99,0.18,1.01,amber_general
amber topaz ring,amber_core,170,HIGH,100,0.0,0.0,amber_general
amber earrings drop,amber_core,170,HIGH,100,0.35,1.31,amber_general
amber flower necklace,amber_core,170,HIGH,88,0.0,0.0,amber_general
amber mosquito ring,amber_core,170,HIGH,99,0.18,1.01,amber_general
amber necklace ebay,amber_core,170,HIGH,91,0.23,0.74,amber_general
amber ring etsy,amber_core,170,HIGH,100,0.0,0.0,amber_general
amber sun ring,amber_core,170,MEDIUM,42,0.0,0.0,amber_general
antique baltic amber necklace,amber_core,170,HIGH,99,0.07,0.55,amber_general
art deco amber necklace,amber_core,170,MEDIUM,58,0.0,0.0,amber_general
