keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
emerald green jewellery,expansion,5400,HIGH,100,0.42,2.07,gemstone
precious stone necklace,expansion,5400,HIGH,100,0.68,2.49,gemstone
ring with 3 stones,expansion,5400,HIGH,100,1.22,3.93,gemstone
mothers ring 3 stones,expansion,5400,HIGH,100,0.43,2.47,birthstone
three stone mothers ring,expansion,5400,HIGH,100,0.43,2.47,birthstone
birthstone october jewelry,expansion,5400,HIGH,100,0.62,2.53,birthstone
jewelry october birthstone,expansion,5400,HIGH,100,0.62,2.53,birthstone
3 stone mom ring,expansion,5400,HIGH,100,0.43,2.47,birthstone
citrine crystal jewelry,expansion,5400,MEDIUM,61,0.36,1.11,warm_stones
amber necklace,amber_core,4400,HIGH,100,0.36,1.61,amber_general
necklace with amber,amber_core,4400,HIGH,100,0.36,1.61,amber_general
peridot necklace,expansion,4400,HIGH,100,0.76,3.32,gemstone
sapphire bracelet,expansion,4400,HIGH,100,0.87,3.52,gemstone
birthstone jewelry for mom,expansion,4400,HIGH,100,1.24,5.77,gemstone
opal bracelet,expansion,4400,HIGH,100,0.66,2.37,gemstone
london blue topaz ring,expansion,4400,HIGH,100,0.59,2.78,gemstone
pink tourmaline ring,expansion,4400,HIGH,100,0.47,2.04,gemstone
montana sapphire ring,expansion,4400,HIGH,100,0.65,2.09,gemstone
mens emerald ring,expansion,4400,HIGH,100,0.6,2.39,gemstone
december birthstone jewelry,expansion,4400,HIGH,100,0.57,1.95,gemstone
tourmaline ring,expansion,4400,HIGH,100,0.46,1.94,gemstone
lapis lazuli necklace,expansion,4400,HIGH,100,0.36,1.55,gemstone
august birthstone jewelry,expansion,4400,HIGH,100,0.59,2.61,gemstone
antique emerald ring,expansion,4400,HIGH,100,0.49,1.72,gemstone
june birthstone jewelry,expansion,4400,HIGH,100,0.62,2.42,gemstone
mothers birthstone jewelry,expansion,4400,HIGH,100,1.24,5.77,gemstone
blue lace agate necklace,expansion,4400,HIGH,100,0.3,1.1,gemstone
birthstone jewellery for mothers,expansion,4400,HIGH,100,1.24,5.77,gemstone
imperial topaz jewellery,expansion,4400,HIGH,77,0.69,3.47,gemstone
male emerald ring,expansion,4400,HIGH,100,0.6,2.39,gemstone
birthstone bracelet for mom,expansion,4400,HIGH,100,1.25,6.79,birthstone
mothers bracelet with birthstones,expansion,4400,HIGH,100,1.25,6.79,birthstone
dec birthstone jewelry,expansion,4400,HIGH,100,0.57,1.95,birthstone
jewelry june birthstone,expansion,4400,HIGH,100,0.62,2.42,birthstone
ring june,expansion,4400,HIGH,100,1.51,7.29,birthstone
jewelry tiger eye,expansion,4400,MEDIUM,65,0.42,1.12,warm_stones
cherry amber,amber_core,3600,LOW,6,0.08,0.66,amber_types
green amber,amber_core,3600,LOW,28,0.09,0.72,amber_colors
blue topaz necklace,expansion,3600,HIGH,100,0.74,3.76,gemstone
citrine necklace,expansion,3600,HIGH,100,0.63,2.51,gemstone
alexandrite necklace,expansion,3600,HIGH,100,0.8,3.94,gemstone
yellow sapphire ring,expansion,3600,HIGH,100,0.63,2.39,gemstone
emerald necklace gold,expansion,3600,HIGH,100,1.01,4.29,gemstone
montana sapphire engagement ring,expansion,3600,HIGH,100,0.81,3.36,gemstone
opal necklace gold,expansion,3600,HIGH,100,0.67,2.68,gemstone
december birthstone ring,expansion,3600,HIGH,100,0.42,1.8,gemstone
black tourmaline bracelet,expansion,3600,HIGH,100,0.42,1.62,gemstone
june birthstone ring,expansion,3600,HIGH,100,0.52,1.99,gemstone
gold sapphire ring,expansion,3600,HIGH,100,0.65,3.07,gemstone
gold opal ring,expansion,3600,HIGH,100,0.53,2.02,gemstone
gold and emerald necklace,expansion,3600,HIGH,100,1.01,4.29,gemstone
gold and sapphire ring,expansion,3600,HIGH,100,0.65,3.07,gemstone
citrine birthstone ring,expansion,3600,HIGH,100,0.68,3.48,gemstone
stones jewelry,expansion,3600,HIGH,100,0.65,2.92,gemstone
opal and gold ring,expansion,3600,HIGH,100,0.53,2.02,gemstone
morganite jewellery,expansion,3600,HIGH,100,0.48,2.39,gemstone
moonstone ring sterling silver,expansion,3600,HIGH,100,0.36,1.21,gemstone
pink sapphire jewellery,expansion,3600,HIGH,100,0.75,3.38,gemstone
gems bracelet,expansion,3600,HIGH,100,0.57,2.28,gemstone
mothers ring 2 stones,expansion,3600,HIGH,100,0.42,2.53,birthstone
birthstone charm bracelet,expansion,3600,HIGH,100,0.65,2.65,birthstone
diamond birthstone ring,expansion,3600,HIGH,94,0.78,3.18,birthstone
amethyst birthstone jewelry,expansion,3600,HIGH,70,0.86,3.95,birthstone
citrine birthstone jewelry,expansion,3600,HIGH,100,0.68,3.48,birthstone
diamond birthstone jewelry,expansion,3600,HIGH,94,0.78,3.18,birthstone
pearl birthstone jewelry,expansion,3600,HIGH,98,0.73,2.94,birthstone
dec birthstone ring,expansion,3600,HIGH,100,0.42,1.8,birthstone
pandora birthstone charm bracelet,expansion,3600,HIGH,100,0.32,0.69,birthstone
amethyst birthstone jewellery,expansion,3600,HIGH,70,0.86,3.95,birthstone
necklace blue topaz,expansion,3600,HIGH,100,0.74,3.76,birthstone
pandora charm bracelet birthstone,expansion,3600,HIGH,100,0.32,0.69,birthstone
diamond ring birthstone,expansion,3600,HIGH,94,0.78,3.18,birthstone
blue zircon jewellery,expansion,3600,HIGH,100,0.4,1.61,birthstone
birthstone june ring,expansion,3600,HIGH,100,0.52,1.99,birthstone
necklace with blue topaz,expansion,3600,HIGH,100,0.74,3.76,birthstone
birthstone jewelry for december,expansion,3600,HIGH,100,0.42,1.8,birthstone
pearl birthstone jewellery,expansion,3600,HIGH,98,0.73,2.94,birthstone
birthstone citrine ring,expansion,3600,HIGH,100,0.68,3.48,birthstone
ring june birthstone,expansion,3600,HIGH,100,0.52,1.99,birthstone
necklace citrine,expansion,3600,HIGH,100,0.63,2.51,warm_stones
necklace with citrine,expansion,3600,HIGH,100,0.63,2.51,warm_stones
blue amber,amber_core,2900,HIGH,76,0.22,1.08,amber_colors
emerald pendant,expansion,2900,HIGH,100,1.14,5.64,gemstone
blue sapphire necklace,expansion,2900,HIGH,100,0.93,5.64,gemstone
