keyword,us_volume,competition,comp_index
yellow sapphire ring,3600,HIGH,100
emerald necklace gold,3600,HIGH,100
montana sapphire engagement ring,3600,HIGH,100
small silver hoop earrings,3600,HIGH,100
tanzanite engagement rings,3600,HIGH,100
opal necklace gold,3600,HIGH,100
sapphire wedding band,3600,HIGH,100
kendra scott apple watch band,3600,HIGH,100
custom birthstone rings,3600,HIGH,100
sterling silver initial necklace,3600,HIGH,100
december birthstone ring,3600,HIGH,100
silver bangle bracelets,3600,HIGH,100
sterling silver engagement rings,3600,HIGH,100
silver dangle earrings,3600,HIGH,100
black tourmaline bracelet,3600,HIGH,100
gemstone bracelets,3600,HIGH,100
june birthstone ring,3600,HIGH,100
real pearls,3600,HIGH,100
sterling silver necklace for women,3600,HIGH,100
gold sapphire ring,3600,HIGH,100
gold opal ring,3600,HIGH,100
4 leaf clover bracelet,3600,HIGH,100
stone rings,3600,HIGH,100
sterling silver cross pendant,3600,HIGH,100
sterling silver locket necklace,3600,HIGH,100
sterling silver cuff bracelet,3600,HIGH,100
gold and emerald necklace,3600,HIGH,100
tiffany rings silver,3600,HIGH,100
silver chunky necklace,3600,HIGH,100
june birthstone alexandrite,3600,HIGH,100
mens opal rings,3600,HIGH,100
november gemstone,3600,HIGH,93
april gemstone,3600,MEDIUM,54
earring hoops,3600,HIGH,100
tiffany heart necklace silver,3600,HIGH,100
sterling jewelry,3600,HIGH,92
gold and sapphire ring,3600,HIGH,100
citrine birthstone ring,3600,HIGH,100
sapphire diamond wedding band,3600,HIGH,100
diamond stack rings,3600,HIGH,100
tanzanite gemstone,3600,HIGH,100
sterling silver cremation jewelry,3600,HIGH,100
stones jewelry,3600,HIGH,100
sterling silver turquoise ring,3600,HIGH,100
opal and gold ring,3600,HIGH,100
morganite jewellery,3600,HIGH,100
pandora birthstone charm,3600,HIGH,100
moonstone ring sterling silver,3600,HIGH,100
gemologists near me,3600,HIGH,85
moonstone bracelets,3600,HIGH,100
sterling silver crucifix necklace,3600,HIGH,100
tiffany's mens bracelet,3600,HIGH,100
pink sapphire jewellery,3600,HIGH,100
tiffany and co rings silver,3600,HIGH,100
necklace rope,3600,HIGH,100
pandora silver charm bracelet,3600,HIGH,100
tiffany and co silver heart necklace,3600,HIGH,100
gemstones beads,3600,HIGH,100
20 inch chain on man,3600,HIGH,82
tourmaline gemstones,3600,HIGH,98
sterling silver handmade jewelry,3600,MEDIUM,33
gold gemstones,3600,MEDIUM,43
gems bracelet,3600,HIGH,100
handmade sterling jewelry,3600,MEDIUM,33
mothers ring 2 stones,3600,HIGH,100
crystal rings,3600,HIGH,100
rose quartz ring,3600,HIGH,100
birthstone charm bracelet,3600,HIGH,100
black rhinestones,3600,HIGH,100
spessartite garnet,3600,HIGH,97
diamond birthstone ring,3600,HIGH,94
amethyst birthstone jewelry,3600,HIGH,70
citrine birthstone jewelry,3600,HIGH,100
sterling silver and turquoise rings,3600,HIGH,100
diamond birthstone jewelry,3600,HIGH,94
price of emeralds,3600,HIGH,88
pearl birthstone jewelry,3600,HIGH,98
paradise pearls,3600,HIGH,100
birthstone and diamond rings,3600,HIGH,94
dec birthstone ring,3600,HIGH,100
pandora ear studs,3600,HIGH,100
cost of emerald,3600,HIGH,88
little hoop earrings silver,3600,HIGH,100
pandora birthstone charm bracelet,3600,HIGH,100
green aventurine jewellery,3600,HIGH,98
amethyst birthstone jewellery,3600,HIGH,70
tiffany silver band,3600,HIGH,100
earrings dangle silver,3600,HIGH,100
ring rose quartz,3600,HIGH,100
big earring hoops,3600,HIGH,100
pandora earring hoops,3600,HIGH,100
pandora charm bracelet birthstone,3600,HIGH,100
tiffany & co silver ring,3600,HIGH,100
blue zircon jewellery,3600,HIGH,100
birthstone june ring,3600,HIGH,100
april's gemstone,3600,MEDIUM,54
moonstone bracelet,3600,HIGH,100
turquoise engagement ring,3600,HIGH,100
turquoise and gold jewelry,3600,HIGH,100
turquoise gold jewelry,3600,HIGH,100
bracelet moonstone,3600,HIGH,100
necklace citrine,3600,HIGH,100
engagement turquoise ring,3600,HIGH,100
turquoise in gold jewelry,3600,HIGH,100
moonstone and sterling silver ring,3600,HIGH,100
birthstone citrine ring,3600,HIGH,100
bracelet with moonstone,3600,HIGH,100
moonstone gemstone bracelet,3600,HIGH,100
moonstone sterling ring,3600,HIGH,100
necklace with citrine,3600,HIGH,100
emerald pendant,2900,HIGH,100
blue sapphire necklace,2900,HIGH,100
silver huggie earrings,2900,HIGH,100
silver locket necklace,2900,HIGH,100
aquamarine bracelet,2900,HIGH,100
silver hoop earrings for women,2900,HIGH,100
silver drop earrings,2900,HIGH,100
emerald tennis bracelet,2900,HIGH,100
silver choker necklace,2900,HIGH,100
sapphire tennis bracelet,2900,HIGH,100
garnet bracelet,2900,HIGH,100
real silver chain,2900,HIGH,100
citrine bracelet,2900,HIGH,100
sterling silver hoops,2900,HIGH,100
silver chain bracelet,2900,HIGH,100
diamond and sapphire engagement ring,2900,HIGH,100
fire opal ring,2900,HIGH,100
emerald green ring,2900,HIGH,100
black tourmaline necklace,2900,HIGH,100
family birthstone ring,2900,HIGH,100
november birthstone ring,2900,HIGH,100
carnelian necklace,2900,HIGH,100
silver diamond ring,2900,HIGH,100
silver pearl necklace,2900,HIGH,100
november birthstone jewelry,2900,HIGH,100
silver nose ring,2900,HIGH,100
sterling silver tennis bracelet,2900,HIGH,100
amethyst wedding ring,2900,HIGH,100
sterling silver bangle bracelets,2900,HIGH,100
pandora birthstone ring,2900,HIGH,100
lapis lazuli ring,2900,HIGH,100
opal diamond ring,2900,HIGH,100
moss agate wedding ring,2900,HIGH,100
gold and silver bracelet,2900,HIGH,100
silver stacking rings,2900,HIGH,100
cuban silver chain,2900,HIGH,100
two stone ring,2900,HIGH,100
mens black onyx ring,2900,HIGH,100
gold and silver necklace,2900,HIGH,100
mens silver pendant,2900,HIGH,100
handmade engagement rings,2900,HIGH,100
september birthstone jewelry,2900,HIGH,100
silver forest earrings,2900,HIGH,100
tigers eye necklace,2900,HIGH,100
gold and silver ring,2900,HIGH,100
mens gemstone rings,2900,HIGH,100
garnet birthstone ring,2900,HIGH,100
silver and pearl necklace,2900,HIGH,100
